new_time,year,month,day,time
1743-11-24,1743,November,24,1743-11-24
1743-12-01,1743,December,1,1743-12-01
1743-12-08,1743,December,8,1743-12-08
1743-12-15,1743,December,15,1743-12-15
1743-12-22,1743,December,22,1743-12-22
1743-12-29,1743,December,29,1743-12-29
1744-01-05,1744,January,5,1744-01-01
1744-01-12,1744,January,12,1744-01-12
1744-01-19,1744,January,19,1744-01-19
1744-01-26,1744,January,26,1744-01-26
1744-02-02,1744,February,2,1744-02-01
1744-02-09,1744,February,9,1744-02-09
1744-02-16,1744,February,16,1744-02-16
1744-02-23,1744,February,23,1744-02-23
1744-03-01,1744,March,1,1744-03-01
1744-03-08,1744,March,8,1744-03-08
1744-03-15,1744,March,15,1744-03-15
1744-03-22,1744,March,22,1744-03-22
1744-03-29,1744,March,29,1744-03-29
1744-04-05,1744,April,5,1744-04-01
1744-04-12,1744,April,12,1744-04-12
1744-04-19,1744,April,19,1744-04-19
1744-04-26,1744,April,26,1744-04-26
1744-05-03,1744,May,3,1744-05-01
1744-05-10,1744,May,10,1744-05-10
1744-05-17,1744,May,17,1744-05-17
1744-05-24,1744,May,24,1744-05-24
1744-05-31,1744,May,31,1744-05-31
1744-06-07,1744,June,7,1744-06-01
1744-06-14,1744,June,14,1744-06-14
1744-06-21,1744,June,21,1744-06-21
1744-06-28,1744,June,28,1744-06-28
1744-07-05,1744,July,5,1744-07-01
1744-07-12,1744,July,12,1744-07-12
1744-07-19,1744,July,19,1744-07-19
1744-07-26,1744,July,26,1744-07-26
1744-08-02,1744,August,2,1744-08-01
1744-08-09,1744,August,9,1744-08-09
1744-08-16,1744,August,16,1744-08-16
1744-08-23,1744,August,23,1744-08-23
1744-08-30,1744,August,30,1744-08-30
1744-09-06,1744,September,6,1744-09-01
1744-09-13,1744,September,13,1744-09-13
1744-09-20,1744,September,20,1744-09-20
1744-09-27,1744,September,27,1744-09-27
1744-10-04,1744,October,4,1744-10-01
1744-10-11,1744,October,11,1744-10-11
1744-10-18,1744,October,18,1744-10-18
1744-10-25,1744,October,25,1744-10-25
1744-11-01,1744,November,1,1744-11-01
1744-11-08,1744,November,8,1744-11-08
1744-11-15,1744,November,15,1744-11-15
1744-11-22,1744,November,22,1744-11-22
1744-11-29,1744,November,29,1744-11-29
1744-12-06,1744,December,6,1744-12-01
1744-12-13,1744,December,13,1744-12-13
1744-12-20,1744,December,20,1744-12-20
1744-12-27,1744,December,27,1744-12-27
1745-01-03,1745,January,3,1745-01-01
1745-01-10,1745,January,10,1745-01-10
1745-01-17,1745,January,17,1745-01-17
1745-01-24,1745,January,24,1745-01-24
1745-01-31,1745,January,31,1745-01-31
1745-02-07,1745,February,7,1745-02-01
1745-02-14,1745,February,14,1745-02-14
1745-02-21,1745,February,21,1745-02-21
1745-02-28,1745,February,28,1745-02-28
1745-03-07,1745,March,7,1745-03-01
1745-03-14,1745,March,14,1745-03-14
1745-03-21,1745,March,21,1745-03-21
1745-03-28,1745,March,28,1745-03-28
1745-04-04,1745,April,4,1745-04-01
1745-04-11,1745,April,11,1745-04-11
1745-04-18,1745,April,18,1745-04-18
1745-04-25,1745,April,25,1745-04-25
1745-05-02,1745,May,2,1745-05-01
1745-05-09,1745,May,9,1745-05-09
1745-05-16,1745,May,16,1745-05-16
1745-05-23,1745,May,23,1745-05-23
1745-05-30,1745,May,30,1745-05-30
1745-06-06,1745,June,6,1745-06-01
1745-06-13,1745,June,13,1745-06-13
1745-06-20,1745,June,20,1745-06-20
1745-06-27,1745,June,27,1745-06-27
1745-07-04,1745,July,4,1745-07-01
1745-07-11,1745,July,11,1745-07-11
1745-07-18,1745,July,18,1745-07-18
1745-07-25,1745,July,25,1745-07-25
1745-08-01,1745,August,1,1745-08-01
